,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
cdrop_5,48.0,1.870466415698712,1.6933797597885132,0.989159891598916,0.9924812030075189,1.0,0.9864864864864864,0.9931972789115646,0.5969919311294628,1.326954185962677,0.21628247015178206
cdrop_2,15.0,3.7189098321474514,3.7004930973052983,0.9680638722554892,0.9725,0.9797979797979798,0.965174129353234,0.9724310776942354,0.24938484116652385,2.44085431098938,0.41700830683112144
cdrop_3,33.0,2.1557485231986413,1.9749259352684019,0.9829059829059829,0.9825,0.9787234042553192,0.9839572192513371,0.9813333333333332,0.5820104358965872,1.0145805515348911,0.20114696398377416
cdrop_4,35.0,2.253089721386249,2.215254783630371,0.9955257270693512,0.9975,1.0,0.994413407821229,0.9971988795518206,0.5427228884699278,1.0969892181456091,0.24434513598680496
cdrop_1,31.0,2.4957372958843527,2.7699754238128658,0.9683544303797468,0.9376558603491272,0.8595505617977528,1.0,0.9244712990936554,0.4709798854774819,1.3455709517002106,0.2440381944179535
no_cdrop_5,38.0,1.9389357383434591,1.8565908372402191,0.9716796875,0.9649122807017544,0.9567307692307692,0.9754901960784312,0.966019417475728,0.5671151824455205,1.2312912791967392,0.2252883315086365
no_cdrop_2,35.0,1.939058514741751,1.823422908782959,0.9762675296655879,0.975,0.9679144385026738,0.9783783783783784,0.9731182795698924,0.5988102423836119,0.8900819346308708,0.18537725135684013
no_cdrop_3,26.0,2.6992417298830467,2.4975236058235173,0.9874326750448834,0.98,0.9734513274336284,0.990990990990991,0.982142857142857,0.407718286278816,1.9415291994810104,0.3061991482973099
no_cdrop_4,33.0,1.9518469388668356,2.1043365001678467,0.9989594172736732,0.9975,0.9948186528497408,1.0,0.9974025974025972,0.5547810002566581,1.3167309015989304,0.2365932948887348
no_cdrop_1,25.0,2.7857229526226344,2.4986947774887085,0.995260663507109,0.9875311720698254,0.9767441860465116,1.0,0.9882352941176468,0.4449724989244567,1.6693317070603368,0.2779434844851494
