,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
late_add_5,42.0,2.078525038865896,1.9711006581783292,0.9979101358411704,0.9949874686716792,0.9896373056994818,1.0,0.9947916666666664,0.4900183005468979,1.0371286273002625,0.22277131862938404
late_add_2,31.0,2.940929834659283,2.4973247647285457,0.994871794871795,0.995,0.9948717948717948,0.9948717948717948,0.9948717948717948,0.4372033700976485,1.7896331921219826,0.3035873081535101
late_add_3,32.0,2.630075638110821,2.5144280195236206,0.8782608695652174,0.9125,1.0,0.8523206751054853,0.920273348519362,0.4616870313850077,1.4778032079339027,0.27017802000045776
late_add_4,23.0,3.3978916865128737,2.8260528445243835,0.9880834160873884,0.9925,1.0,0.9851485148514852,0.9925187032418952,0.4085679858013925,2.0776605904102325,0.36468327790498734
late_add_1,29.0,3.3473267738635717,2.495071291923523,0.9913793103448276,0.9850374064837906,0.9764150943396226,0.9951923076923076,0.9857142857142857,0.439191941194894,1.9522384405136108,0.31336504220962524
early_5,40.0,1.7659388688894417,1.9337632656097408,0.9871031746031748,0.974937343358396,0.9567307692307692,0.995,0.9754901960784312,0.5568262700962694,1.3353882431983948,0.26280829682946205
early_2,26.0,2.492081807209895,2.365708589553833,0.9892262487757102,0.9875,0.9853658536585366,0.9901960784313726,0.9877750611246944,0.5109427053543011,1.6350763365626335,0.2884994260966778
early_3,16.0,3.7365980881911063,3.699861764907837,0.9832246039142593,0.97,0.9547511312217196,0.9906103286384976,0.9723502304147464,0.24544984997243025,2.6998777389526367,0.4303791970014572
early_4,40.0,2.1065632563370924,1.990778625011444,0.9919436052366566,0.995,1.0,0.9899497487437184,0.9949494949494948,0.5120709131477629,1.385858029127121,0.2627455331385136
early_1,15.0,3.8069564562577463,3.878335297107697,0.9808102345415778,0.9775561097256856,0.9684210526315791,0.9839572192513371,0.9761273209549072,0.220248460272107,2.675783522427082,0.4365799650549889
late_cat_5,23.0,4.330121022004348,3.8367128372192383,0.9815618221258132,0.987468671679198,0.9945054945054944,0.9783783783783784,0.9863760217983649,0.3058181778476624,2.3546555787324905,0.4059749245643616
late_cat_2,12.0,4.346406753246601,4.6157206296920785,0.9327651515151514,0.9425,0.965686274509804,0.9248826291079812,0.9448441247002398,0.17205370161093175,2.872716151177883,0.4479743540287018
late_cat_3,12.0,4.343888924672053,4.5309845209121695,0.9266055045871558,0.95,1.0,0.90990990990991,0.9528301886792452,0.16228716562166962,2.85045038163662,0.4642466753721237
late_cat_4,12.0,4.442229967850905,4.788054585456847,0.9798994974874372,0.9875,1.0,0.975,0.9873417721518986,0.1664202814390954,2.645261190831661,0.4522976651787758
late_cat_1,12.0,4.3136069407829885,4.888339638710021,0.9469350411710888,0.9600997506234414,0.9904306220095692,0.9366515837104072,0.9627906976744184,0.13798009868243435,3.120833784341812,0.4988011717796326
