,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
vector_and_width_5,41.0,1.8363927877866304,1.6562674939632416,0.9930830039525692,0.9899749373433584,0.9852941176470588,0.995049504950495,0.9901477832512314,0.5522670608226711,1.1375608853995802,0.21663884818553925
vector_and_width_2,38.0,1.8970540120051456,2.15606489777565,0.9221501390176088,0.9475,1.0,0.9045454545454544,0.9498806682577564,0.6035418999867488,1.0314601510763168,0.1907301377505064
vector_and_width_3,14.0,3.81708968602694,3.7788450717926025,0.9822263797941999,0.9825,0.9859154929577464,0.9813084112149532,0.9836065573770492,0.2436782362568092,2.676678791642189,0.4317022748291493
vector_and_width_4,40.0,1.897671369405893,1.766844481229782,0.982721382289417,0.96,0.9191919191919192,1.0,0.9578947368421052,0.6267999952832684,0.8378137573599815,0.17486717365682125
vector_and_width_1,16.0,3.6643674373626713,3.723390996456146,0.9811122770199372,0.970074812967581,0.949238578680203,0.9894179894179894,0.9689119170984456,0.2064019604657188,2.4466921836137767,0.4187253154814243
four_points_5,39.0,1.9569630439464865,1.8438588976860049,0.9903640256959312,0.9774436090225564,0.9536082474226804,1.0,0.9762532981530342,0.5450753168121909,1.1736349146813154,0.2208558972924948
four_points_2,38.0,1.8870596610582795,1.5595001876354218,0.9919436052366566,0.995,1.0,0.9899497487437184,0.9949494949494948,0.6161177904428875,1.011680468916893,0.1885872166603804
four_points_3,43.0,1.8355019184259267,1.7143813967704773,0.9811529933481152,0.9575,0.9123711340206184,1.0,0.9541778975741241,0.5693414952933374,0.8871750347316265,0.18052545003592968
four_points_4,38.0,1.6783285232690663,1.595158934593201,0.9907597535934292,0.9925,0.9948453608247424,0.9897435897435898,0.9922879177377892,0.5910490444487566,1.0199295282363892,0.18677014112472531
four_points_1,38.0,1.857405928465036,2.1926894783973694,0.984930032292788,0.972568578553616,0.9481865284974094,0.9945652173913044,0.9708222811671086,0.5448108504036884,1.1324043497443201,0.216046491637826
two_vectors_5,30.0,2.0192896036001358,2.0152121484279637,0.988843813387424,0.987468671679198,0.9848484848484848,0.9898477157360406,0.9873417721518988,0.5477475219251227,1.2215355113148691,0.2274599652737379
two_vectors_2,31.0,2.4582897699796242,2.0519883632659908,0.9916589434661724,0.9925,0.9953488372093025,0.9907407407407408,0.9930394431554525,0.5792802450147021,1.1809864342212677,0.2284161262214184
two_vectors_3,38.0,2.1220726600060096,1.899661600589752,1.0,1.0,1.0,1.0,1.0,0.5522596762213231,1.269128441810608,0.23428211733698845
two_vectors_4,27.0,2.63205047754141,2.706782102584839,0.9730848861283644,0.935,0.8785046728971962,1.0,0.9353233830845772,0.4546207245634433,2.0189219787716866,0.3276220187544823
two_vectors_1,13.0,3.9638744867764983,3.69930899143219,0.9891196834817012,0.9875311720698254,0.9852216748768472,0.99009900990099,0.9876543209876542,0.27340990712632657,2.4819505661726002,0.4245582744479179
