,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
smooth_L1_5,43.0,1.9538952203897328,1.663534253835678,0.992685475444096,0.9824561403508772,0.964467005076142,1.0,0.9819121447028424,0.5760780634697922,0.8932408913969994,0.18157605826854706
smooth_L1_2,42.0,1.8418414501043467,1.6752977073192596,0.9919028340080971,0.98,0.9607843137254902,1.0,0.98,0.5907758720117486,0.91048351675272,0.17822935990989208
smooth_L1_3,15.0,3.6422273379105783,3.4674264192581177,0.9773218142548594,0.9775,0.9731182795698924,0.9783783783783784,0.9757412398921832,0.26681546802603234,2.2176387831568722,0.37183136120438576
smooth_L1_4,32.0,2.333060447986309,2.2734045386314388,0.9681697612732096,0.9775,1.0,0.9605263157894736,0.9798657718120805,0.5714835191361525,1.5945131555199623,0.25369857624173164
smooth_L1_1,25.0,2.6767985087174635,2.855046689510345,0.9875904860392966,0.9775561097256856,0.9597989949748744,0.9947916666666666,0.9769820971867006,0.4524001467642146,1.6919768378138542,0.3043927997350693
L2_5,36.0,2.068625138356136,2.295794010162353,0.9489402697495184,0.9649122807017544,0.9949494949494948,0.938095238095238,0.9656862745098036,0.5360369878702551,1.2838360145688057,0.2522079646587372
L2_2,14.0,3.78502895281865,3.526630401611328,0.97340930674264,0.9825,1.0,0.9669811320754716,0.9832134292565946,0.2775542199987343,2.458864778280258,0.4199675656855105
L2_3,38.0,2.073146810898414,2.180367946624756,0.9847036328871892,0.99,1.0,0.9809523809523808,0.9903846153846152,0.5253700828003965,1.3102572970092297,0.2434515953063965
L2_4,30.0,2.259746056336623,2.1451609134674072,0.9931506849315068,0.99,0.9854368932038836,0.9950980392156864,0.9902439024390244,0.5451655730571824,1.3072441294789314,0.22449158877134326
L2_1,39.0,1.8731205646808329,1.9217329919338224,0.9949748743718594,0.9875311720698254,0.9753694581280788,1.0,0.9875311720698254,0.5408008683841389,1.2965852953493595,0.22872319258749485
