,epoch,trn_loss,val_loss,f_2,accuracy,precision,recall,f_1,iou,L_1,L_2
pretrain_5,5.0,7.447365504044753,8.606204032897951,0.4347826086956521,0.543859649122807,0.13333333333333333,1.0,0.2352941176470588,0.0042723875953838775,7.373468577861786,1.058778494596481
pretrain_2,28.0,2.465818698589618,2.839581072330475,0.9454545454545454,0.8875,0.7761194029850746,1.0,0.8739495798319327,0.5258789490795017,1.2013640850782394,0.2261957600712776
pretrain_3,26.0,2.3766808326427755,2.023644655942917,0.9802073515551368,0.985,0.9952153110047848,0.976525821596244,0.9857819905213268,0.5643898139595198,1.2004351317882538,0.22203100472688675
pretrain_4,34.0,1.9854507996485784,1.9288465976715088,0.9961127308066084,0.99,0.9808612440191388,1.0,0.9903381642512076,0.584155632162699,1.090504739433527,0.21389991976320746
pretrain_1,37.0,1.7714046331552358,1.9479040503501888,0.9933774834437086,0.9850374064837906,0.967741935483871,1.0,0.983606557377049,0.5486580303953821,1.1030539087951183,0.2271360494196415
no_pretrain_5,39.0,1.8105558707163885,2.091086715459824,1.0,1.0,1.0,1.0,1.0,0.5433231581971171,1.2284417971968649,0.2321782447397709
no_pretrain_2,27.0,2.585300482236422,2.692414343357086,0.9897959183673468,0.9825,0.97,0.9948717948717948,0.982278481012658,0.4902380649909479,1.6773919314146042,0.3153028748929501
no_pretrain_3,43.0,1.5643897515076857,1.4568810760974884,0.9915809167446212,0.9925,0.9953051643192488,0.9906542056074766,0.992974238875878,0.6487585936149951,1.0850628167390823,0.19044850580394268
no_pretrain_4,27.0,2.4006294195468607,2.295412749052048,0.9893617021276596,0.975,0.9489795918367347,1.0,0.9738219895287956,0.5239149282978763,1.152514223009348,0.2233037557452917
no_pretrain_1,32.0,2.3864564437132616,2.199791252613068,0.9911678115799806,0.9925187032418952,0.9950738916256158,0.9901960784313726,0.9926289926289926,0.5511040645039682,1.1710488051176071,0.23273492231965065
